Accession	IPA Name	Log ratio	P-value	Q-value
NM_011708.3	VWF	0.37467	0.05094641	0.01613589
NM_019411.4	PPP2CA	-0.085	0.05287369	0.01656428
NM_033374.3	DOCK2	1.4801	0.05685788	0.01762092
NM_011655.5		0.10667	0.05883554	0.01803984
NM_001044384.1	TIMP1	1.6282	0.05968644	0.01808764
NM_011905.2	TLR2	1.694	0.06024659	0.01808764
NM_009114.2	S100A9	1.66	0.06336514	0.0188278
NM_009912.4	CCR1	0.77058	0.06901145	0.02029625
NM_001164477.1	IFIH1	0.589	0.07508904	0.0218606
NM_183168.2	P2RY6	0.93183	0.08756793	0.02523863
NM_018790.2	ARC	-0.6315	0.08977594	0.02534017
NM_010717.2	LIMK1	-0.13467	0.09015238	0.02534017
NM_010824.2	MPO	0.6976	0.09055782	0.02534017
NM_008963.2	PTGDS	-0.18333	0.09144551	0.02534252
NM_011662.2	TYROBP	0.34633	0.09379234	0.02574535
NM_009370.2	TGFBR1	-0.24567	0.1030665	0.02802416
NM_005910ex10.1		-1.3332	0.1063516	0.02856795
NM_001159598.1	AXIN1	-0.302	0.1070489	0.02856795
NM_001123382.1	IL1R1	0.31633	0.1093001	0.02890112
NM_025800.3	PPP1R2	-0.09	0.1130476	0.0296203
NM_023279.2	TUBB3	-0.09	0.1186415	0.03080593
NM_000345.3	SNCA	0.15383	0.1226276	0.03155666
NM_008604.3	MME	-0.26367	0.1321014	0.03369378
NM_013654.3	CCL7	1.1158	0.1389101	0.0350493
NM_008343.2	IGFBP3	-0.27883	0.1398481	0.0350493
NM_007540.4	BDNF	0.25333	0.1419049	0.0352582
NM_009377.1	TH	-0.75867	0.1441024	0.03549819
NM_000484.3	APP	-0.05	0.1470984	0.03592912
NM_010861.3	MYL2	-1.017	0.1485598	0.03598115
NM_001111058.1	Cd33	0.91417	0.1517097	0.03643785
NM_009804.2	CAT	0.091	0.1568725	0.03736647
NM_001170537.1	MEF2C	-0.11	0.1645704	0.03887878
NM_008587.1	MERTK	0.20417	0.1669742	0.03912597
NM_007399.3	ADAM10	0.053667	0.1696553	0.03943362
XM_003086124.1		0.50917	0.1747228	0.04028658
NM_008170.2	GRIN2A	-0.17167	0.1786151	0.04085719
NM_009305.2	SYP	-0.071667	0.1828961	0.04150701
NM_009812.2	CASP8	0.274	0.188335	0.04222767
NM_145827.3	NLRP3	-1.0415	0.1890019	0.04222767
NM_009841.3	CD14	1.0039	0.197961	0.04388914
NM_008828.2		-0.045	0.2046035	0.04501556
NM_007722.3	ACKR3	0.26083	0.2088301	0.04536375
NM_001159555.1	CD36	-0.97933	0.209334	0.04536375
NM_008578.2	MEF2B	0.2987	0.2145441	0.04614585
NM_001081081.2	GLS	-0.071667	0.2221315	0.04732473
NM_012019.2	AIFM1	-0.084333	0.223309	0.04732473
NM_205769.1	CRH	-0.39583	0.2259686	0.04738744
NM_011198.3	PTGS2	0.26433	0.2268932	0.04738744
NM_008965.1	PTGER4	0.76082	0.233699	0.0484577
NM_198578.2		-0.2745	0.2375336	0.048901
NM_011335.2	CCL21	-0.65978	0.2554151	0.05208537
NM_009662.2	ALOX5	0.35267	0.2566158	0.05208537
NM_008606.2	MMP11	-0.73233	0.2719088	0.05468793
NM_011434.1	SOD1	0.068333	0.273233	0.05468793
NM_009221.2		0.072833	0.278831	0.05542349
NM_010518.2	IGFBP5	0.15083	0.28318	0.05590242
NM_009141.2	CXCL6	-1.1323	0.2857419	0.05602443
NM_024441.2	HSPB2	-0.77433	0.2935259	0.05632549
NM_010554.4	IL1A	0.67825	0.2937939	0.05632549
NM_001077411.1	GBA	0.1715	0.2939221	0.05632549
NM_031168.1	IL6	-0.42613	0.2950945	0.05632549
NM_013669.1	SNAP91	0.06	0.3032622	0.05750366
NM_019639.4	UBC	-0.05	0.3252406	0.06126806
NM_001037726.1	CREB1	-0.069667	0.339239	0.06349007
NM_053094.2	CD163	0.77433	0.3519426	0.06544265
NM_009892.2	Chil3/Chil4	0.089867	0.3632175	0.06584009
NM_031167.5	IL1RN	0.11743	0.3632175	0.06584009
NM_011613.3	TNFSF11	0.11743	0.3632175	0.06584009
NM_021406.5	TREM1	0.369	0.3632175	0.06584009
NM_011943.2	MAP2K6	0.064167	0.3661846	0.06596307
NM_008610.2	MMP2	-0.64635	0.3751839	0.06681026
NM_011792.4	BACE1	-0.0525	0.3755237	0.06681026
NM_009368.2	TGFB3	-0.10417	0.37926	0.06706103
NM_010736.3	LTBR	-0.49783	0.3898434	0.06851207
NM_011609.4	TNFRSF1A	0.1895	0.4049038	0.07072757
NM_007631.2	CCND1	0.14117	0.4075517	0.07076123
NM_001038609ex9_11.1		-0.17717	0.4129016	0.07126083
NM_001111274.1	IGF1	-0.53517	0.4390795	0.0753277
NM_001037859.2	CSF1R	0.10767	0.4479866	0.07640101
NM_010016.2	Cd55/Daf2	-0.16883	0.458756	0.07777743
NM_001003908.1	CLTC	-0.023333	0.4636277	0.07814372
NM_013556.2		0.023333	0.473561	0.07895389
NM_011888.2	CCL19	0.41823	0.4739133	0.07895389
NM_010767.3	MASP2	0.3333	0.497137	0.08193973
NM_199307.2	ECE1	0.055333	0.4975214	0.08193973
XM_128139.6	SOX10	0.069167	0.5083501	0.08324747
NM_001159711.1	LY96	-0.28667	0.5252186	0.08552392
NM_133977.2	TF	0.10167	0.5316288	0.08608139
NM_133211.3	TLR7	0.40352	0.5899691	0.09499418
NM_001164366.1	ATP13A2	-0.069333	0.6243203	0.09996679
NM_011604.3	TLR6	0.508	0.6306546	0.1004231
NM_009807.2	CASP1	0.12017	0.634351	0.1004567
NM_001163588.1	PRPH	-0.34883	0.6414838	0.1010312
NM_010757.2	MAFK	-0.071167	0.6498978	0.1018001
NM_001081211.1	PTAFR	0.37337	0.6578818	0.1022962
NM_001025947.1	DNM1L	0.018333	0.6601636	0.1022962
NM_013599.2	MMP9	-0.14463	0.6782818	0.1045417
NM_009598.2	ACE	0.038	0.6906916	0.1053817
NM_022009.1	FLII	-0.036	0.6910445	0.1053817
NM_010755.3	MAFF	0.24217	0.6991756	0.1060604
NM_021999.2		0.17833	0.7113884	0.1073481
NM_026880.2	PINK1	0.035667	0.7241359	0.1085768
NM_008512.2	LRP1	-0.033333	0.7270657	0.1085768
NM_026114.3	EIF2S1	-0.028833	0.7356218	0.1092883
NM_011332.3	CCL17	0.096	0.7434319	0.1098822
NM_001198823.1		-0.0083333	0.7543054	0.1109205
NM_013652.2	CCL4	-0.13842	0.7791758	0.1137617
NM_010189.3	FCGRT	0.0525	0.7815209	0.1137617
NM_080454.3	GJC2	-0.060333	0.7906303	0.1144879
NM_009243.3	SERPINA1	0.16117	0.7944539	0.1144879
NM_177942.1	ECE2	-0.037	0.8050519	0.115438
NM_007679.4	CEBPD	0.15632	0.8156655	0.1163809
NM_031156.2	IDE	-0.015833	0.8313387	0.1180328
NM_013560.2	HSPB1	0.038333	0.8571688	0.1204795
NM_008351.2	IL12A	-0.16717	0.8615484	0.1204795
NM_001003899.2	TARDBP	-0.012333	0.8646588	0.1204795
NM_010517.3	IGFBP4	0.026667	0.865292	0.1204795
NM_007567.2	BSN	0.0165	0.8711667	0.1207143
NM_007687.5	CFL1	0.0033333	0.8757859	0.1207737
NM_009788.4	CALB1	0.012333	0.8929195	0.1225501
NM_027763.1	TREML1	0.030283	0.9340507	0.1275877
NM_010849.4	MYC	0.0098333	0.9726004	0.1322268
NM_007482.3	ARG1	0.001	0.9979953	0.1350423
NM_000041.2		0	         NaN	         NaN
NM_021334.2	ITGAX	0	         NaN	         NaN
NM_011330.3	CCL11	0	         NaN	         NaN
NM_009916.2	CCR4	0	         NaN	         NaN
NM_007768.4	CRP	0	         NaN	         NaN
NM_011339.2	Cxcl15	0	         NaN	         NaN
NM_000146.3		0	         NaN	         NaN
NM_002087.2		0	         NaN	         NaN
NM_008337.3	IFNG	0	         NaN	         NaN
NM_021283.2	IL4	0	         NaN	         NaN
NM_008371.2	IL7	0	         NaN	         NaN
NM_009909.3	CXCR2	0	         NaN	         NaN
NM_005910ex1.1		0	         NaN	         NaN
NM_010766.2	MARCO	0	         NaN	         NaN
NM_010809.1	MMP3	0	         NaN	         NaN
NM_010776.1	MBL2	0	         NaN	         NaN
NM_010927.3	NOS2	0	         NaN	         NaN
NM_013641.2	PTGER1	0	         NaN	         NaN
NM_008877.3	PLG	0	         NaN	         NaN
NM_000454.4		0	         NaN	         NaN
NM_007375.3		0	         NaN	         NaN
NM_133212.2	TLR8	0	         NaN	         NaN
NM_011610.3	TNFRSF1B	0	         NaN	         NaN
NM_009404.3	Tnfsf9	0	         NaN	         NaN
NM_013693.2	TNF	0	         NaN	         NaN
NM_001033405.2	TREML2	0	         NaN	         NaN
NM_001033922.2	TREML4	0	         NaN	         NaN
