Accession	IPA Name	Log ratio	P-value	Q-value
NM_008855.2	PRKCB	0.0665	0.4200276	0.1913664
NM_009243.3	SERPINA1	-0.21663	0.4343719	0.196478
NM_053094.2	CD163	-0.68173	0.4454386	0.2000446
NM_009598.2	ACE	0.2475	0.4548411	0.2028185
NM_009778.2	C3	0.76293	0.4673895	0.2056463
NM_008872.2	PLAT	-0.1488	0.4677244	0.2056463
NM_019639.4	UBC	-0.052	0.4718794	0.2060324
NM_001037726.1	CREB1	-0.0815	0.4796613	0.2079858
NM_009776.3	SERPING1	0.73	0.4896742	0.2108732
NM_007762.4	CRHR1	-0.3738	0.4998442	0.2116007
NM_008404.4	ITGB2	1.1248	0.5076161	0.2116007
NM_013492.2	Clu	0.062	0.5082265	0.2116007
NM_013560.2	HSPB1	-0.17495	0.5088963	0.2116007
NM_031156.2	IDE	-0.08715	0.5097698	0.2116007
NM_001001303.1		-0.028	0.5115567	0.2116007
NM_009368.2	TGFB3	0.22015	0.5179683	0.2128525
NM_010517.3	IGFBP4	0.0658	0.5250583	0.2143649
NM_001003899.2	TARDBP	-0.0235	0.5744924	0.2321551
NM_008606.2	MMP11	0.52685	0.5760177	0.2321551
NM_001081081.2	GLS	-0.0185	0.5852399	0.2324619
NM_008170.2	GRIN2A	-0.03845	0.5853967	0.2324619
NM_080454.3	GJC2	0.18425	0.5974661	0.2324619
NM_009807.2	CASP1	0.2005	0.5988763	0.2324619
NM_009700.2	AQP4	0.0864	0.599172	0.2324619
NM_009848.3	ENTPD1	-0.10615	0.5996104	0.2324619
NM_010757.2	MAFK	0.58853	0.6026601	0.2324619
NM_011434.1	SOD1	-0.0395	0.6100646	0.2338832
NM_001163588.1	PRPH	-0.52337	0.6239319	0.2377498
NM_011888.2	CCL19	-0.34818	0.6314555	0.2391672
NM_008828.2		0.012	0.6460121	0.2432155
NM_026880.2	PINK1	-0.0545	0.6719285	0.2514445
NM_011943.2	MAP2K6	0.05925	0.675868	0.2514445
NM_011332.3	CCL17	0.55505	0.6806701	0.2517414
NM_145827.3	NLRP3	0.44902	0.703514	0.2586685
NM_198578.2		-0.1403	0.710596	0.2597534
NM_025800.3	PPP1R2	0.0327	0.724788	0.2609138
NM_010849.4	MYC	0.115	0.7274984	0.2609138
NM_016700.3	MAPK8	0.0144	0.7280313	0.2609138
NM_013650.2	S100A8	0.91295	0.7324041	0.2609138
NM_001159555.1	CD36	-0.1882	0.7358587	0.2609138
NM_001159598.1	AXIN1	-0.09275	0.739181	0.2609138
NM_009370.2	TGFBR1	0.0227	0.7460669	0.2609138
NM_005910ex10.1		0.37386	0.7470552	0.2609138
NM_009662.2	ALOX5	0.41335	0.7511189	0.2609138
NM_009912.4	CCR1	0.26138	0.7675821	0.2643072
NM_013669.1	SNAP91	0.0275	0.7692955	0.2643072
NM_133977.2	TF	0.042	0.7767375	0.2654137
NM_009221.2		0.0296	0.7904849	0.2676348
NM_009114.2	S100A9	0.52255	0.791751	0.2676348
NM_008343.2	IGFBP3	0.06365	0.8043183	0.2704291
NM_016740.3	S100A11	-0.07355	0.8216354	0.2745214
NM_010016.2	Cd55/Daf2	-0.0588	0.8272341	0.2745214
NM_008587.1	MERTK	-0.04395	0.8372303	0.2745214
NM_001170537.1	MEF2C	-0.016	0.8382374	0.2745214
NM_133211.3	TLR7	-0.25678	0.8383213	0.2745214
NM_009841.3	CD14	-0.1912	0.8557849	0.2787882
NM_010717.2	LIMK1	-0.01665	0.8634169	0.2796943
NM_009804.2	CAT	-0.0174	0.8691151	0.2796943
XM_128139.6	SOX10	-0.02425	0.8719121	0.2796943
NM_205769.1	CRH	0.0306	0.8855748	0.282635
NM_008610.2	MMP2	0.15321	0.8931331	0.2835866
NM_008351.2	IL12A	0.093057	0.8975772	0.2835866
NM_010824.2	MPO	-0.1677	0.9112074	0.2861795
NM_012019.2	AIFM1	0.00675	0.919118	0.2861795
NM_199307.2	ECE1	-0.0147	0.9194388	0.2861795
NM_025730.3	LRRK2	0.0172	0.9278421	0.2870743
NM_021297.2	TLR4	-0.11015	0.9314455	0.2870743
NM_001111274.1	IGF1	0.07102	0.9524549	0.2906573
NM_026114.3	EIF2S1	-0.00335	0.9535473	0.2906573
NM_010518.2	IGFBP5	-0.00585	0.9599154	0.2906573
NM_009377.1	TH	-0.068005	0.9615628	0.2906573
NM_000041.2		0	         NaN	         NaN
NM_021334.2	ITGAX	0	         NaN	         NaN
NM_011330.3	CCL11	0	         NaN	         NaN
NM_011335.2	CCL21	0	         NaN	         NaN
NM_007768.4	CRP	0	         NaN	         NaN
NM_011339.2	Cxcl15	0	         NaN	         NaN
NM_000146.3		0	         NaN	         NaN
NM_002087.2		0	         NaN	         NaN
NM_008337.3	IFNG	0	         NaN	         NaN
NM_031168.1	IL6	0	         NaN	         NaN
NM_021999.2		0	         NaN	         NaN
NM_031167.5	IL1RN	0	         NaN	         NaN
NM_008371.2	IL7	0	         NaN	         NaN
NM_005910ex1.1		0	         NaN	         NaN
NM_010809.1	MMP3	0	         NaN	         NaN
NM_010767.3	MASP2	0	         NaN	         NaN
NM_010776.1	MBL2	0	         NaN	         NaN
NM_008578.2	MEF2B	0	         NaN	         NaN
XM_003086124.1		0	         NaN	         NaN
NM_010927.3	NOS2	0	         NaN	         NaN
NM_013641.2	PTGER1	0	         NaN	         NaN
NM_008965.1	PTGER4	0	         NaN	         NaN
NM_008877.3	PLG	0	         NaN	         NaN
NM_007375.3		0	         NaN	         NaN
NM_001044384.1	TIMP1	0	         NaN	         NaN
NM_133212.2	TLR8	0	         NaN	         NaN
NM_011610.3	TNFRSF1B	0	         NaN	         NaN
NM_009404.3	Tnfsf9	0	         NaN	         NaN
NM_013693.2	TNF	0	         NaN	         NaN
NM_027763.1	TREML1	0	         NaN	         NaN
NM_001033405.2	TREML2	0	         NaN	         NaN
NM_011905.2	TLR2	0	         NaN	         NaN
